product name,price
"Vitron HTC4068FS, 40"" Inch Frameless Smart Android TV Netflix, Youtube Appstore Inbuilt Decoder","KSh 16,995"
"Vitron HTC4068FS, 40""inch Frameless Bluetooth Television Smart Android TV, Inbuilt Decoder ,App Store Netflix Youtube(1 Year Warranty) + A Free Wall Mounting Bracket","KSh 17,295"
"Amtec 32"" Inches 32R1S Android TV – Smart Frameless TV, Bluetooth, Wi-Fi, Inbuilt Decoder +Free Gifts","KSh 11,999"
"Vision Plus 43"" Inch Frameless FULL HD Smart Android Bluetooth TV,NETFLIX+FREE BRACKET+TV GUARD","KSh 22,990"
"Vision Plus VP8843KV - 43"" 4K TV with Vidaa OS + Free Wall Mount (2 YRs WRTY)","KSh 25,351"
"TCL 32"" Inch Frameless AI Smart GOOGLE LED TV,NETFLIX,YOUTUBE-GIFTS","KSh 16,690"
"Glaze 43"" Inch Full HD Smart TV – Bluetooth Enabled, WiFi Connectivity, Netflix, YouTube, Inbuilt Decoder+BRACKET+TV GUARD+EXTENSION","KSh 18,999"
"Vitron 32Inch Frameless,Bluetooth/ Smart Android 11,Google Playstore+FREE WALL BRACKET free Guard+14mWARRANTY","KSh 12,599"
"Gld 43"" Inch-FULL HD SMART ANDROID TV, BLUETOOTH,NETFLIX,YOUTUBE+FREE TILT BRACKET+TV GUARD","KSh 20,999"
"Hisense 55A6N 4K Ultra HD Smart LED Smart VIDAA TV, 55""-Inch+FREE 360 BRACKET+POWER GUARD","KSh 46,999"
"Vitron HTC3200S,32"" Inch Bluetooth Enabled Television, Frameless Smart Android TV, Inbuilt Free To Air Decoder For Local Channels,App Store, Netflix Youtube, Wi-Fi Connectivity 2*USB Ports 3*HDMI Ports 1GBRAM 8GB ROM +FREE TV GUARD + WALL MOUNTING BRACKET","KSh 11,895"
